Question;Options;Correct Answer;Explanation;ImagePath;;
01. Refer to the exhibit. Assuming that the routing tables are up to date and no ARP messages are needed, after a packet leaves H1, how many times is the L2 header rewritten in the path to H2?;1,2,3,4,5,6;4;H1 creates the first Layer 2 header. The R1 router has to examine the destination IP address to determine how the packet is to be routed. If the packet is to be routed out another interface, as is the case with R1, the router strips the current Layer 2 header and attaches a new Layer 2 header. When R2 determines that the packet is to be sent out the LAN interface, R2 removes the Layer 2 header received from the serial link and attaches a new Ethernet header before transmitting the packet.;;;
02. Refer to the exhibit. Which highlighted value represents a specific destination network in the routing table?;0.0.0.0,10.16.100.128,10.16.100.2,110,791;10.16.100.128;;;;
03. Which type of static route is configured with a greater administrative distance to provide a backup route to a route learned from a dynamic routing protocol?;floating static route,default static route,summary static route,standard static route;floating static route;There are four basic types of static routes. Floating static routes are backup routes that are placed into the routing table if a primary route is lost. A summary static route aggregates several routes into one, reducing the of the routing table. Standard static routes are manually entered routes into the routing table. Default static routes create a gateway of last resort.;;;
04. Refer to the exhibit. Which route was configured as a static route to a specific network using the next-hop address?;S 10.17.2.0/24 [1/0] via 10.16.2.2,S 0.0.0.0/0 [1/0] via 10.16.2.2,C 10.16.2.0/24 is directly connected, Serial0/0/0,S 10.17.2.0/24 is directly connected, Serial 0/0/0;S 10.17.2.0/24 [1/0] via 10.16.2.2;;;;
05. What network prefix and prefix-length combination is used to create a default static route that will match any IPv6 destination?;:/128,FFFF:/128,::1/64,::/0;::/0;A default static route configured for IPv6, is a network prefix of all zeros and a prefix mask of 0 which is expressed as ::/0.;;;
06. A router has used the OSPF protocol to learn a route to the 172.16.32.0/19 network. Which command will implement a backup floating static route to this network?;ip route 172.16.0.0 255.255.240.0 S0/0/0 200,ip route 172.16.32.0 255.255.224.0 S0/0/0 200,ip route 172.16.0.0 255.255.224.0 S0/0/0 100,ip route 172.16.32.0 255.255.0.0 S0/0/0 100;ip route 172.16.32.0 255.255.224.0 S0/0/0 100;OSPF has an administrative distance of 110, so the floating static route must have an administrative distance higher than 110. Because the target network is 172.16.32.0/19, that static route must use the network 172.16.32.0 and a netmask of 255.255.224.0.;;;
07. Refer to the exhibit. Currently router R1 uses an EIGRP route learned from Branch2 to reach the 10.10.0.0/16 network. Which floating static route would create a backup route to the 10.10.0.0/16 network in the event that the link between R1 and Branch2 goes down?;ip route 10.10.0.0 255.255.0.0 Serial 00/0 100,ip route 10.10.0.0 255.255.0.0 209.165.200.226 100,ip route 10.10.0.0 255.255.0.0 209.165.200.225 100,ip route 10.10.0.0 255.255.0.0 209.165.200.225 50;ip route 10.10.0.0 255.255.0.0 209.165.200.225 100;A floating static route needs to have an administrative distance that is greater than the administrative distance of the active route in the routing table. Router R1 is using an EIGRP route which has an administrative distance of 90 to reach the 10.10.0.0/16 network. To be a backup route the floating static route must have an administrative distance greater than 90 and have a next hop address corresponding to the serial interface IP address of Branch1.;;;
08. Which statement describes a route that has been learned dynamically?;It is automatically updated and maintained by routing protocols.,It is unaffected by changes in the topology of the network.,It has an administrative distance of 1.,It is identified by the prefix C in the routing table.;It is automatically updated and maintained by routing protocols.;Dynamically learned routes are constantly updated and maintained by routing protocols.;;;
09. Compared with dynamic routes, what are two advantages of using static routes on a router? (Choose two.);They automatically switch the path to the destination network when the topology changes,They Improve network security,They take less time to converge when the network topology changes,They use fewer router resources,They improve the efficiency of discovering neighboring networks.;They Improve network security,They use fewer router resources;Static routes are manually configured on a router. Static routes are not automatically updated and must be manually reconfigured if the network topology changes. Thus static routing improves network security because it does not make route updates among neighboring routers. Static routes also improve resource efficiency by using less bandwidth, and no CPU cycles are used to calculate and communicate routes.;;;
10. To enable RIPv1 routing for a specific subnet, the configuration command network 172.16.64.32 was entered by the network administrator. What address, if any, appears in the running configuration file to identify this network?;172.16.64.32,172.16.64.0,172.16.0.0,No address is displayed.;No address is displayed.;RIPv1 is a classful routing protocol, meaning it will automatically convert the subnet ID that was entered into the classful address of 172.16.0.0 when it is displayed in the running configuration.;;;
