"Question","Options","Correct Answer","Explanation"
"What is a characteristic of a fault tolerant network?","A) a network that protects confidential information from unauthorized access, B) a network that can expand quickly to support new users and applications without impacting the performance of the service delivered to existing users, C) a network that supports a mechanism for managing congestion and ensuring reliable delivery of content to all users, D) a network that recovers quickly when a failure occurs and depends on redundancy to limit the impact of a failure","D","Fault tolerant networks limit the impact of a failure because they are built to allow for quick recovery when such a failure occurs, relying on multiple or redundant paths between the source and destination of a message."
"Three bank employees are using the corporate network. If QoS is implemented on this network, what will be the priorities from highest to lowest of the different data types?","A) financial transactions, audio conference, web page, B) audio conference, financial transactions, web page, C) audio conference, web page, financial transactions, D) financial transactions, web page, audio conference","B","QoS mechanisms enable queue management strategies that enforce priorities for different categories of application data, giving voice data priority over transaction data, which has priority over web data."
"What is a benefit of using cloud computing in networking?","A) End users have the freedom to use personal tools to access information and communicate across a business network, B) Network capabilities are extended without requiring investment in new infrastructure, personnel, or software, C) Technology is integrated into every-day appliances allowing them to interconnect with other devices, making them more 'smart' or automated, D) Home networking uses existing electrical wiring to connect devices to the network wherever there is an electrical outlet, saving the cost of installing data cables","B","Cloud computing extends ITâ€™s capabilities without requiring investment in new infrastructure, training new personnel, or licensing new software, offering on-demand services economically to any device anywhere without compromising security or function."
"What is the function of the shell in an OS?","A) It interacts with the device hardware, B) It interfaces between the users and the kernel, C) It provides dedicated firewall services, D) It provides the intrusion protection services for the device","B","Most operating systems contain a shell and a kernel. The kernel interacts with the hardware, and the shell interfaces between the kernel and the users."
"Which connection provides a secure CLI session with encryption to a Cisco switch?","A) a console connection, B) an AUX connection, C) a Telnet connection, D) an SSH connection","D","A CLI session using Secure Shell (SSH) provides enhanced security through strong passwords and encryption during the transport of session data, unlike other methods which support authentication but not encryption."
"A network technician is attempting to configure an interface by entering a command. The command is rejected by the device. What is the reason for this?","A) The command is being entered from the wrong mode of operation, B) The command syntax is wrong, C) The subnet mask information is incorrect, D) The interface is shutdown and must be enabled before the switch will accept the IP address","A","The command is rejected because it is being entered from the wrong mode of operation. IP addresses must be configured from interface configuration mode."
"An administrator uses the Ctrl-Shift-6 key combination on a switch after issuing the ping command. What is the purpose of using these keystrokes?","A) to restart the ping process, B) to interrupt the ping process, C) to exit to a different configuration mode, D) to allow the user to complete the command","B","The Ctrl-Shift-6 key combination is used to interrupt an IOS process such as ping or traceroute."
"On which switch interface would an administrator configure an IP address so that the switch can be managed remotely?","A) FastEthernet0/1, B) VLAN 1, C) vty 0, D) console 0","B","Interface VLAN 1, a virtual interface on a switch, is where an IP address should be configured for remote switch management. The VTY line must also be configured for remote access, but an IP address cannot be configured on this line."
"What protocol is responsible for controlling the size of segments and the rate at which segments are exchanged between a web client and a web server?","A) TCP, B) IP, C) HTTP, D) Ethernet","A","TCP, a Layer 4 protocol of the OSI model, divides large messages into smaller segments and controls the size and rate of segments exchanged between clients and servers."
"What is an advantage to using a protocol that is defined by an open standard?","A) A company can monopolize the market, B) The protocol can only be run on equipment from a specific vendor, C) An open standard protocol is not controlled or regulated by standards organizations, D) It encourages competition and promotes choices","D","An open standard protocol, being implemented by a wide range of vendors, encourages competition and promotes choices, unlike proprietary protocols which are not free to use."
